source	target	weight	correlation
ASV353	ASV690	1	1
ASV353	ASV360	1	1
ASV4821	ASV4822	1	1
ASV4821	ASV4835	1	1
ASV185	ASV216	1	1
ASV185	ASV275	1	1
ASV338	ASV667	1	1
ASV338	ASV827	1	1
ASV338	ASV767	1	1
ASV6948	ASV6951	1	1
ASV6948	ASV6954	1	1
ASV6948	ASV6955	1	1
ASV4093	ASV4105	1	1
ASV4093	ASV4098	1	1
ASV2374	ASV2377	1	1
ASV2374	ASV2378	1	1
ASV2374	ASV2380	1	1
ASV2374	ASV2381	1	1
ASV2374	ASV2383	1	1
ASV216	ASV275	1	1
ASV356	ASV472	1	1
ASV356	ASV673	1	1
ASV356	ASV690	1	1
ASV356	ASV360	1	1
ASV377	ASV963	1	1
ASV560	ASV900	1	1
ASV4822	ASV4835	1	1
ASV2422	ASV2394	1	1
ASV472	ASV673	1	1
ASV472	ASV690	1	1
ASV472	ASV360	1	1
ASV673	ASV690	1	1
ASV673	ASV360	1	1
ASV2563	ASV2436	1	1
ASV2563	ASV2454	1	1
ASV690	ASV360	1	1
ASV5565	ASV4828	1	1
ASV5565	ASV5562	1	1
ASV5565	ASV5563	1	1
ASV5565	ASV5567	1	1
ASV5565	ASV5564	1	1
ASV5565	ASV5566	1	1
ASV5565	ASV5569	1	1
ASV5565	ASV5572	1	1
ASV4105	ASV4098	1	1
ASV451	ASV526	1	1
ASV2436	ASV2454	1	1
ASV4081	ASV4077	1	1
ASV667	ASV827	1	1
ASV667	ASV767	1	1
ASV827	ASV767	1	1
ASV4828	ASV5562	1	1
ASV4828	ASV5563	1	1
ASV4828	ASV5567	1	1
ASV4828	ASV5564	1	1
ASV4828	ASV5566	1	1
ASV4828	ASV5569	1	1
ASV4828	ASV5572	1	1
ASV2377	ASV2378	1	1
ASV2377	ASV2380	1	1
ASV2377	ASV2381	1	1
ASV2377	ASV2383	1	1
ASV2378	ASV2380	1	1
ASV2378	ASV2381	1	1
ASV2378	ASV2383	1	1
ASV4107	ASV4123	1	1
ASV4107	ASV4155	1	1
ASV3216	ASV3227	1	1
ASV3216	ASV3222	1	1
ASV3216	ASV3224	1	1
ASV3216	ASV3225	1	1
ASV3216	ASV3226	1	1
ASV3216	ASV3233	1	1
ASV5562	ASV5563	1	1
ASV5562	ASV5567	1	1
ASV5562	ASV5564	1	1
ASV5562	ASV5566	1	1
ASV5562	ASV5569	1	1
ASV5562	ASV5572	1	1
ASV5563	ASV5567	1	1
ASV5563	ASV5564	1	1
ASV5563	ASV5566	1	1
ASV5563	ASV5569	1	1
ASV5563	ASV5572	1	1
ASV5567	ASV5564	1	1
ASV5567	ASV5566	1	1
ASV5567	ASV5569	1	1
ASV5567	ASV5572	1	1
ASV3227	ASV3222	1	1
ASV3227	ASV3224	1	1
ASV3227	ASV3225	1	1
ASV3227	ASV3226	1	1
ASV3227	ASV3233	1	1
ASV5564	ASV5566	1	1
ASV5564	ASV5569	1	1
ASV5564	ASV5572	1	1
ASV2380	ASV2381	1	1
ASV2380	ASV2383	1	1
ASV2381	ASV2383	1	1
ASV5566	ASV5569	1	1
ASV5566	ASV5572	1	1
ASV6951	ASV6954	1	1
ASV6951	ASV6955	1	1
ASV3222	ASV3224	1	1
ASV3222	ASV3225	1	1
ASV3222	ASV3226	1	1
ASV3222	ASV3233	1	1
ASV4123	ASV4155	1	1
ASV3224	ASV3225	1	1
ASV3224	ASV3226	1	1
ASV3224	ASV3233	1	1
ASV6954	ASV6955	1	1
ASV3225	ASV3226	1	1
ASV3225	ASV3233	1	1
ASV5569	ASV5572	1	1
ASV3226	ASV3233	1	1
