label	phylum	class	order	family	genus	abundance	Type
ASV4107	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000196603	phoD
ASV900	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000176942	phoD
ASV2454	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.00020971	phoD
ASV3216	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Afipia	0.000262137	phoD
ASV5562	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000255584	phoD
ASV963	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000242477	phoD
ASV5563	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.00026869	phoD
ASV767	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000170389	phoD
ASV5567	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000183496	phoD
ASV3227	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__unclassified_o__Burkholderiales	g__Rhizobacter	0.000183496	phoD
ASV5564	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000242477	phoD
ASV2380	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.00020971	phoD
ASV2381	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.00022937	phoD
ASV5566	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	0.00020971	phoD
ASV6951	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	0.000203156	phoD
