node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV5565	10	10	0.1	0	0.999999999999999
ASV4105	4	4	0.25	0	9.20548301573786e-17
ASV360	7	7	0.142857142857143	0	1.84109660314757e-16
ASV538	1	1	1	0	2.30137075393447e-17
ASV451	6	6	0.166666666666667	0	9.20548301573786e-17
ASV772	1	1	1	0	1.15068537696723e-17
ASV2394	2	2	0.5	0	0
ASV275	3	3	0.333333333333333	0	2.30137075393447e-17
ASV2436	2	2	0.5	0	0
ASV4081	1	1	1	0	2.30137075393447e-17
ASV667	6	6	0.166666666666667	0	1.38082245236068e-16
ASV574	1	1	1	0	1.15068537696723e-17
ASV827	6	6	0.166666666666667	0	2.30137075393447e-16
ASV4828	10	10	0.1	0	1
ASV526	6	6	0.166666666666667	0	9.20548301573786e-17
ASV821	1	1	1	0	1.15068537696723e-17
ASV4077	1	1	1	0	1.15068537696723e-17
ASV2377	5	5	0.2	0	9.20548301573786e-17
ASV2378	5	5	0.2	0	4.60274150786893e-17
ASV852	1	1	1	0	2.30137075393447e-17
ASV1032	1	1	1	0	0
ASV4107	2	2	0.5	0	4.60274150786893e-17
ASV900	1	1	1	0	0
ASV2454	2	2	0.5	0	0
ASV3216	7	7	0.142857142857143	0	0
ASV5562	10	10	0.1	0	0.999999999999999
ASV963	5	5	0.2	0	1.38082245236068e-16
ASV5563	10	10	0.1	0	0.999999999999999
ASV767	6	6	0.166666666666667	0	1.38082245236068e-16
ASV5567	10	10	0.1	0	1
ASV3227	7	7	0.142857142857143	0	0
ASV5564	10	10	0.1	0	0.999999999999999
ASV2380	5	5	0.2	0	9.20548301573786e-17
ASV2381	5	5	0.2	0	4.60274150786893e-17
ASV5566	10	10	0.1	0	0.999999999999999
ASV6951	3	3	0.333333333333333	0	0
ASV4098	4	4	0.25	0	9.20548301573786e-17
ASV4118	2	2	0.5	0	2.30137075393447e-17
ASV3222	7	7	0.142857142857143	0	0
ASV4123	2	2	0.5	0	2.30137075393447e-17
ASV4155	2	2	0.5	0	0
ASV2383	5	5	0.2	0	4.60274150786893e-17
ASV3224	7	7	0.142857142857143	0	9.20548301573786e-17
ASV6954	3	3	0.333333333333333	0	2.30137075393447e-17
ASV3225	7	7	0.142857142857143	0	0
ASV6955	3	3	0.333333333333333	0	2.30137075393447e-17
ASV5569	10	10	0.1	0	1
ASV3226	7	7	0.142857142857143	0	9.20548301573786e-17
ASV5572	10	10	0.1	0	1
ASV3233	7	7	0.142857142857143	0	1.38082245236068e-16
