"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","type","phylum","class","order","family","genus"
"FN1",0.08,0.04,0.08,0.06,0.03,0.03,0.053333333,"FN","nematode","nematode","nematode","nematode","Paraphelenchus"
"FN2",0.04,0.08,0.08,0.12,0.09,0.11,0.086666667,"FN","nematode","nematode","nematode","nematode","Ditylenchus"
"FN3",0.48,0.58,0.52,0.46,0.55,0.55,0.523333333,"FN","nematode","nematode","nematode","nematode","Aphelenchus"
"FN4",0,0.08,0.12,0.08,0.05,0.06,0.065,"FN","nematode","nematode","nematode","nematode","Paraphelenchus"
"FN5",0.2,0.06,0.14,0.16,0.16,0.17,0.148333333,"FN","nematode","nematode","nematode","nematode","Aphelenchoides"
"FN6",0.2,0.16,0.06,0.12,0.12,0.08,0.123333333,"FN","nematode","nematode","nematode","nematode","Tylencholaimus"
