"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6","Abundance","type","phylum","class","order","family","genus"
"FN1",0.05,0.07,0.06,0,0.04,0.05,0.045,"FN","nematode","nematode","nematode","nematode","Paraphelenchus"
"FN2",0.13,0.11,0.12,0.16,0.15,0.11,0.13,"FN","nematode","nematode","nematode","nematode","Ditylenchus"
"FN3",0.48,0.46,0.58,0.26,0.33,0.4,0.418333333,"FN","nematode","nematode","nematode","nematode","Aphelenchus"
"FN4",0.12,0.08,0.12,0.2,0.19,0.14,0.141666667,"FN","nematode","nematode","nematode","nematode","Paraphelenchus"
"FN5",0.17,0.16,0,0.3,0.26,0.24,0.188333333,"FN","nematode","nematode","nematode","nematode","Aphelenchoides"
"FN6",0.05,0.12,0.12,0.08,0.03,0.06,0.076666667,"FN","nematode","nematode","nematode","nematode","Tylencholaimus"
