node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV369	1	1	1	0	0
ASV852	1	0.971008312455224	1.02985730108887	0	0
ASV1649	5	5	0.2	0	0
ASV1909	1	1	1	0	0
ASV2306	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV981	47	47	0.0212765957446809	0	0.999999999999999
ASV424	1	0.983738753675929	1.01653004546513	0	0
ASV118	1	0.971008312455224	1.02985730108887	0	0
ASV1558	1	0.979795897113271	0.204124145231931	0	0
ASV60	1	1	1	0	0
ASV3283	16	16	0.0625	0	0
ASV841	47	47	0.0212765957446809	0	0.999999999999999
ASV2308	46	46	0.0217391304347826	0	1.23069611928548e-14
ASV994	47	47	0.0212765957446809	0	0.999999999999999
ASV232	1	0.983738753675929	1.01653004546513	0	0
ASV184	1	0.985610760609162	1.01459931239178	0	0
ASV1437	32	32	0.03125	0	1.92296268638356e-16
ASV2607	3	3	0.333333333333333	0	0
ASV39	26	26	0.0384615384615385	0	0
ASV3274	16	16	0.0625	0	0
ASV86	1	0.971008312455224	1.02985730108887	0	0
ASV225	2	2	0.5	0	0
ASV73	1	0.970588235294118	1.03030303030303	0	0
ASV1907	1	1	1	0	0
ASV1065	3	2.97979589711327	0.112885020441285	0	0
ASV899	1	0.983738753675929	1.01653004546513	0	0
ASV849	2	2	0.5	0	0
ASV1081	8	8	0.125	0	0
ASV4614	39	39	0.0256410256410256	0	0
ASV7	1	1	1	0	0
ASV873	47	47	0.0212765957446809	0	1
ASV1845	32	32	0.03125	0	2.40370335797945e-16
ASV392	26	26	0.0384615384615385	0	4.80740671595891e-17
ASV340	1	1	1	0	0
ASV10	1	0.985610760609162	0.203540328459273	0	0
ASV1012	1	0.985610760609162	1.01459931239178	0	0
ASV959	47	47	0.0212765957446809	0	0.999999999999999
ASV1038	47	47	0.0212765957446809	0	1
ASV56	1	0.985610760609162	1.01459931239178	0	0
ASV23	2	1.97122152121832	0.144942758913112	0	0
ASV231	26	26	0.0384615384615385	0	0
ASV2257	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV2269	46	46	0.0217391304347826	0	1.26915537301315e-14
