node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
BN1	2	1.79908698366605	0.55583749372822	1	1
BN2	2	1.65234745160948	0.605199589847731	1	0
BN3	1	0.971008312455224	0.360998410921174	0	0.760885910252682
BN4	0	0	NA	0	0
BN5	1	0.84066800169605	0.40112065838745	0	0
BN6	0	0	NA	0	0
BN7	0	0	NA	0	0
BN8	1	0.811679449913428	0.405839724956714	0	0
BN9	0	0	NA	0	0
BN10	0	0	NA	0	0
BN11	1	0.828078671210825	0.380638349981347	0	0.648885684523051
