	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12	Abundance	Type	phylum	class	order	family	genus	species
ASV7573	0	0	0.000235923	0	0	0	3.93205E-05	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV8806	0	0.000353885	0	0	0	0	5.89808E-05	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV3320	0	0	0	0	0	0	0	phoD	p__Actinobacteria_d__Bacteria	c__Actinobacteria_p__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Kitasatospora	s__Kitasatospora_setae
ASV1077	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV1105	0	0	0	0	0	0	0	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001
ASV7015	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV8108	0.000393205	0	0	0	0	0	6.55342E-05	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV4177	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV3324	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV8803	0	0.000314564	0	0	0	0	5.24273E-05	phoD	p__Actinobacteria_d__Bacteria	c__Actinobacteria_p__Actinobacteria	o__Frankiales	f__Frankiaceae	g__Jatrophihabitans	s__Jatrophihabitans_sp._GAS493
ASV5649	0	0	0	0	0	0	0	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium_sp._B7
ASV4913	0	0	0	0	0	0.000314564	5.24273E-05	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV5747	0	0	0	0	7.86E-05	0	0.0000131	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV5645	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV5029	0	0	0	0.000117962	0	0.000157282	0.000045874	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV2715	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV3321	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV5643	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV3511	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV2738	0	0	0	0	3.93E-05	0	0.00000655	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV1090	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV9300	0	0	0	0.000196603	0	0	3.27672E-05	phoD	p__Actinobacteria_d__Bacteria	c__Actinobacteria_p__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_sp._3124.6
ASV7653	0	0.000157282	0.000157282	0	0	0	5.24273E-05	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium_sp._B7
ASV8151	0.000275244	0	0	3.93E-05	0	0	0.000052424	phoD	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__Massilia_sp._B2
ASV1062	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV7010	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
ASV8109	0.000393205	0	0	0	0	0	6.55342E-05	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._SK17
ASV3325	0	0	0	0	0	0	0	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium
