node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV8749	7	7	0.142857142857143	0	2.63312510143252e-16
ASV2733	3	3	0.333333333333333	0	1.09713545893022e-16
ASV8074	1	1	1	0	4.38854183572087e-17
ASV8062	7	7	0.142857142857143	0	1.75541673428835e-16
ASV7054	1	1	1	0	3.29140637679066e-17
ASV3402	5	5	0.2	0	1.31656255071626e-16
ASV7514	4	4	0.25	0	1.75541673428835e-16
ASV4838	1	1	1	0	4.38854183572087e-17
ASV1595	1	1	1	0	4.38854183572087e-17
ASV9262	5	5	0.2	0	1.31656255071626e-16
ASV4818	9	9	0.111111111111111	0	1
ASV7521	2	2	0.5	0	8.77708367144175e-17
ASV9263	5	5	0.2	0	1.31656255071626e-16
ASV4860	4	4	0.25	0	2.19427091786044e-16
ASV7515	4	4	0.25	0	2.63312510143252e-16
ASV8773	5	5	0.2	0	1.75541673428835e-16
ASV8751	7	7	0.142857142857143	0	1.75541673428835e-16
ASV7516	4	4	0.25	0	1.75541673428835e-16
ASV8065	7	7	0.142857142857143	0	8.77708367144175e-17
ASV8067	7	7	0.142857142857143	0	1.75541673428835e-16
ASV8066	7	7	0.142857142857143	0	1.75541673428835e-16
ASV8754	7	7	0.142857142857143	0	1.75541673428835e-16
ASV4824	9	9	0.111111111111111	0	1
ASV8068	7	7	0.142857142857143	0	8.77708367144175e-17
ASV8069	7	7	0.142857142857143	0	8.77708367144175e-17
ASV9265	5	5	0.2	0	2.19427091786044e-16
