	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12
ASV1466	0	0.001289214	0	0	0.000572984	0
ASV623	0	0	0	0	0	0
ASV115	0.002435181	0.004010887	0.004154133	0.004010887	0.006446068	0.003437903
ASV3288	0	0	0	0	0	0
ASV2805	0.000429738	0	0	0	0	0
ASV166	0	0.002005443	0	0	0.000572984	0
ASV161	0.003581149	0	0.005586592	0.002148689	0	0.003008165
ASV1424	0	0.002005443	0	0	0	0
ASV3482	0	0	0	0	0	0
ASV2925	0	0	0	0.002291935	0	0
ASV2305	0	0	0	0	0	0
ASV4794	0	0	0	0	0	0
ASV3225	0	0	0	0.000286492	0	0
ASV559	0.001002722	0	0	0	0	0
ASV1460	0	0.00143246	0	0	0	0.00143246
ASV4679	0	0	0	0	0	0
ASV1576	0	0.000572984	0	0	0	0
ASV4216	0	0	0.000286492	0	0	0
ASV2477	0	0	0	0	0	0
ASV4279	0	0	0	0	0.000572984	0
ASV222	0	0.003151411	0	0	0.001289214	0
ASV4643	0	0	0	0	0	0
ASV2806	0.000143246	0	0	0	0	0
ASV2460	0	0	0	0	0	0
ASV1885	0	0	0	0	0	0
ASV4140	0	0	0.000286492	0	0	0
ASV4380	0	0	0	0	0.000286492	0
ASV3285	0	0	0	0	0	0.00071623
ASV1814	0	0.000143246	0	0	0	0
ASV321	0.001289214	0.001289214	0.00071623	0	0	0.005156854
ASV2895	0.000286492	0	0	0	0	0
ASV120	0.003294657	0.003581149	0	0.007162298	0.004010887	0.006446068
ASV2645	0.000859476	0	0	0	0	0
ASV2349	0	0	0	0	0	0
ASV2643	0.001145968	0	0	0	0	0
ASV1516	0	0.001145968	0	0	0	0
ASV445	0	0.001289214	0.001145968	0.001145968	0.000143246	0.001145968
ASV879	0	0	0.002721673	0.001002722	0.001862197	0
ASV4622	0	0	0	0	0	0
ASV1101	0	0	0	0	0	0
ASV1037	0	0	0	0	0	0
ASV346	0	0	0	0	0	0
ASV1991	0	0	0	0	0	0
ASV566	0	0.001289214	0	0	0	0
ASV2946	0	0	0	0.001145968	0	0
ASV4591	0	0	0	0	0	0
ASV4335	0	0	0	0	0.000286492	0
ASV61	0	0	0.013894857	0	0	0.008451511
ASV2468	0	0	0	0	0	0
ASV2537	0	0	0	0	0	0
ASV1587	0	0.000286492	0	0	0	0
ASV1590	0	0.00071623	0	0	0	0
ASV719	0	0.000143246	0	0	0	0
ASV1068	0	0	0	0	0	0
ASV2566	0.003724395	0	0	0	0	0
ASV706	0	0.001718951	0.000143246	0.00143246	0	0
ASV4058	0	0	0.000429738	0	0	0
ASV3043	0	0	0	0.000572984	0	0
ASV3865	0	0	0	0	0	0.000429738
ASV2665	0.000429738	0	0	0	0	0
ASV3341	0	0	0	0	0	0
ASV3089	0	0	0	0.000572984	0	0
ASV2874	0.000286492	0	0	0	0	0
ASV2661	0.000429738	0	0	0	0	0
ASV764	0	0	0	0	0	0
ASV4178	0	0	0.000286492	0	0.000429738	0
ASV1408	0	0.001862197	0	0	0	0
ASV3630	0	0	0	0	0	0.003151411
ASV2451	0	0	0	0	0	0
ASV2032	0	0	0	0	0	0
ASV1271	0	0	0	0	0	0
ASV1780	0	0.000143246	0	0	0	0
ASV3955	0	0	0.002148689	0	0	0
ASV4357	0	0	0	0	0.000286492	0
ASV4033	0	0	0.000286492	0	0	0
ASV2427	0	0	0	0	0	0
ASV393	0	0	0	0	0.001718951	0
ASV3614	0	0	0	0	0	0
ASV3324	0	0	0	0	0	0
ASV1947	0	0	0	0	0	0
ASV1310	0	0	0	0	0	0
ASV3265	0	0	0.003867641	0	0	0.000859476
ASV4226	0	0	0.000143246	0	0	0
ASV677	0	0	0	0	0	0
ASV1407	0	0.001862197	0.001575705	0	0	0
ASV1312	0	0	0	0	0	0
ASV66	0.005873084	0.005013608	0.008451511	0.004010887	0.006302822	0.004583871
ASV3564	0	0	0	0	0	0
ASV3174	0	0	0	0.000143246	0	0
ASV3951	0	0	0.002005443	0	0	0
ASV4590	0	0	0	0	0	0
ASV4452	0	0	0	0	0.000286492	0
ASV3627	0	0	0	0	0	0.004154133
ASV2487	0	0	0.000143246	0	0	0
ASV2381	0	0	0	0	0	0
ASV2542	0	0	0	0	0	0
ASV4144	0	0	0.000286492	0	0	0
ASV2226	0	0	0	0	0	0
ASV4448	0	0	0	0	0.000143246	0
ASV1293	0	0.001289214	0	0	0.000143246	0
ASV3065	0	0	0	0.00071623	0	0
ASV3510	0	0	0	0	0	0
ASV3091	0	0	0	0.000429738	0	0
ASV733	0	0	0	0	0	0
ASV4409	0	0	0	0	0.000143246	0
ASV228	0.003151411	0.002435181	0.001575705	0.004154133	0.003008165	0.002291935
ASV2664	0.000859476	0	0	0	0	0
ASV3440	0	0	0	0	0	0
ASV1461	0	0.001002722	0.000572984	0.000286492	0.001002722	0
ASV2330	0	0	0	0	0	0
ASV303	0	0	0	0	0	0
ASV2996	0	0	0	0.001289214	0	0.000859476
ASV2959	0	0	0	0.00143246	0	0
ASV1660	0.000429738	0.000286492	0	0.000859476	0	0
ASV1796	0	0.000143246	0	0	0	0
ASV1225	0	0	0	0	0.000286492	0
ASV1497	0	0.000859476	0	0	0	0
ASV124	0.00601633	0.004583871	0.003151411	0	0.007592036	0.002291935
ASV2038	0	0	0	0	0	0
ASV1077	0	0	0.000859476	0	0	0
ASV2354	0.00071623	0	0.000286492	0	0	0
ASV1583	0	0.00071623	0	0	0	0
ASV4183	0	0	0.000286492	0	0	0
ASV2475	0	0	0	0	0	0
ASV3161	0	0	0	0.000143246	0	0
ASV1087	0	0	0	0	0	0
ASV1284	0	0	0	0	0	0
ASV547	0	0	0.001289214	0.00143246	0	0.00071623
ASV1476	0	0.001289214	0	0	0	0.000429738
ASV628	0	0	0	0	0	0
ASV550	0	0.000429738	0	0	0	0
ASV4661	0	0	0	0	0	0
ASV3889	0	0	0	0	0	0.000143246
ASV968	0	0	0	0	0	0
ASV492	0	0	0	0	0	0
ASV1853	0	0	0	0	0	0
ASV2345	0	0	0	0	0.00143246	0
ASV1690	0	0.000286492	0	0	0	0
ASV4143	0	0	0.000429738	0	0	0
ASV1791	0	0.000143246	0	0	0	0
ASV3409	0	0	0	0	0	0
ASV1172	0	0.000286492	0	0	0	0
ASV3965	0	0	0.001002722	0	0	0
ASV1411	0	0.002148689	0	0	0	0
ASV2710	0.000572984	0	0	0	0	0
ASV3445	0	0	0	0	0	0
ASV4340	0	0	0	0	0.000429738	0
ASV4432	0	0	0	0	0.000286492	0
ASV541	0.00143246	0	0	0	0	0
ASV1967	0	0	0.000572984	0.001862197	0.000572984	0
ASV1682	0	0.000286492	0	0	0	0
ASV3967	0	0	0.00143246	0	0	0
ASV2592	0.001145968	0	0	0	0	0
ASV922	0	0	0	0	0	0
ASV3933	0	0	0.005013608	0	0	0
ASV1243	0	0	0	0	0	0
ASV4270	0	0	0	0	0.000429738	0
ASV1999	0	0	0	0	0	0
ASV4040	0	0	0.000859476	0	0	0
ASV626	0	0	0	0	0	0
ASV2893	0.000143246	0	0	0	0	0
ASV4343	0	0	0	0	0.000572984	0
ASV3900	0	0	0	0	0	0.000286492
ASV3194	0	0	0	0.000143246	0	0
ASV1147	0	0	0	0	0	0
ASV3148	0	0	0	0.000143246	0	0
ASV795	0	0	0	0	0	0
ASV4283	0	0	0	0	0.001002722	0
ASV1336	0	0	0	0	0	0
ASV558	0	0	0	0	0	0
ASV4379	0	0	0	0	0.000286492	0
ASV726	0	0	0	0	0	0
ASV4648	0	0	0	0	0	0
ASV2341	0.001718951	0	0	0.000572984	0	0
ASV4054	0	0	0.00071623	0	0	0
ASV944	0.001145968	0.000143246	0.00071623	0.002148689	0.000572984	0.000859476
ASV1982	0	0	0.000859476	0	0	0.000286492
ASV3875	0	0	0	0	0.000143246	0
ASV1687	0	0.000429738	0	0	0	0
ASV1412	0	0.002435181	0	0	0	0
ASV803	0	0	0	0	0	0
ASV4186	0	0	0.000286492	0	0	0
ASV475	0	0	0.00071623	0	0.000429738	0
ASV507	0	0	0	0	0	0
ASV2679	0.000572984	0	0	0	0	0
ASV147	0.0053001	0	0	0	0	0
ASV2841	0.000143246	0	0	0	0	0
ASV2765	0.000429738	0	0	0	0	0
ASV4080	0	0	0.000429738	0	0	0
ASV1919	0	0	0.001002722	0	0	0
ASV925	0	0.00143246	0	0	0	0
ASV3709	0	0	0	0	0	0.000572984
ASV3294	0	0	0	0	0	0
ASV2267	0	0	0	0	0	0
ASV2552	0.010313709	0	0	0	0	0
ASV3952	0	0	0.002148689	0	0	0
ASV3748	0	0	0	0	0	0.000572984
ASV4003	0	0	0.00071623	0	0	0
ASV4117	0	0	0.000143246	0	0	0
ASV2371	0	0	0	0	0	0
ASV4348	0	0	0	0	0.000429738	0
ASV1723	0	0.000143246	0	0	0	0
ASV1640	0	0.00071623	0	0	0	0
ASV3496	0	0	0	0	0	0
ASV3697	0	0	0	0	0	0.00071623
ASV1544	0	0.000286492	0	0	0	0
ASV2502	0	0	0	0	0	0
ASV4029	0	0	0.000143246	0	0	0
ASV2922	0	0	0	0.003008165	0	0
ASV1136	0	0	0	0.000572984	0	0
ASV89	0	0.002435181	0.001145968	0	0.000286492	0.005156854
ASV2938	0	0	0	0.001862197	0.002148689	0
ASV3514	0	0	0	0	0	0
ASV2275	0	0	0	0	0	0
ASV371	0	0.002291935	0.000286492	0.000429738	0.000859476	0
ASV439	0	0	0	0	0	0
ASV3672	0	0	0	0	0	0.000572984
ASV207	0.002435181	0.001002722	0.00143246	0.002148689	0.002148689	0.003437903
ASV266	0	0.001718951	0.002435181	0.002864919	0	0
ASV3924	0	0	0	0	0	0.000143246
ASV3143	0	0	0	0.000143246	0	0
ASV4155	0	0	0.000143246	0	0	0
ASV224	0.003437903	0.00673256	0.008451511	0.024351812	0.009024495	0.01131643
ASV2385	0	0	0	0	0	0
ASV861	0	0	0	0	0	0
ASV1507	0	0.001002722	0	0	0	0
ASV234	0	0.001289214	0.001145968	0	0	0
ASV3396	0	0	0	0	0	0
ASV69	0.002721673	0.003581149	0.002291935	0.003008165	0.007878527	0.002578427
ASV1597	0	0.000143246	0	0	0	0
ASV4162	0	0	0.000143246	0	0	0
ASV838	0.008451511	0.006875806	0.008451511	0.013751612	0.008738003	0.011173184
ASV4350	0	0	0	0	0.000143246	0
ASV1870	0	0	0	0	0	0.004583871
ASV2868	0.000143246	0	0	0	0	0
ASV2070	0	0	0	0	0.000143246	0
ASV4678	0	0	0	0	0	0
ASV2285	0	0	0	0	0	0
ASV242	0	0	0	0	0	0
ASV245	0	0	0	0	0	0
ASV525	0	0	0	0	0	0
ASV1090	0	0	0	0	0.000572984	0
ASV4654	0	0	0	0	0	0
ASV3626	0	0	0	0	0	0.003724395
ASV4753	0	0	0	0	0	0
ASV1712	0	0.000286492	0	0	0	0
ASV2474	0	0	0	0	0	0
ASV4131	0	0	0.000143246	0	0	0
ASV2771	0.000429738	0	0	0	0	0
ASV3988	0	0	0.000859476	0	0	0
ASV217	0	0	0	0	0	0
ASV3603	0	0	0	0	0	0
ASV2227	0	0	0	0	0	0
ASV3444	0	0	0	0	0	0
ASV1744	0	0.000143246	0	0	0	0
ASV411	0	0	0	0	0	0
ASV3021	0	0	0	0.000859476	0.000143246	0.00071623
ASV4418	0	0	0	0	0.000143246	0
ASV2760	0.000429738	0	0	0	0	0
ASV663	0	0	0	0	0	0
ASV4768	0	0	0	0	0	0
ASV1191	0	0	0	0	0	0
ASV4449	0	0	0	0	0.000143246	0
ASV181	0.00143246	0.000859476	0	0.001575705	0.002435181	0.003724395
ASV3156	0	0	0	0.000429738	0	0
ASV2262	0.008165019	0	0	0	0.003437903	0.002005443
ASV2384	0	0	0	0	0	0
ASV4391	0	0	0	0	0.000572984	0
ASV3373	0	0	0	0	0	0
ASV2432	0	0	0	0	0	0
ASV1089	0	0	0	0.000286492	0	0
ASV4777	0	0	0	0	0	0
ASV2616	0.00143246	0	0	0	0	0
ASV4600	0	0	0	0	0	0
ASV3669	0	0	0	0	0	0.001575705
ASV2107	0	0	0	0	0	0
ASV987	0	0.000286492	0	0	0.000859476	0
ASV1958	0	0	0	0	0	0
ASV4726	0	0	0	0	0	0
ASV2812	0.000429738	0	0	0	0	0
ASV1785	0	0.000286492	0	0	0	0
ASV837	0	0.005586592	0	0	0.012319152	0
ASV3077	0	0	0	0.000429738	0.001145968	0
ASV2504	0	0	0	0	0	0
ASV2790	0.000286492	0	0	0	0	0
ASV2346	0	0	0	0	0	0
ASV239	0.002291935	0.001289214	0.005013608	0.002148689	0.001289214	0.00071623
ASV117	0.003581149	0	0.00143246	0.001862197	0	0.003581149
ASV725	0	0	0	0	0	0
ASV1846	0	0	0.001718951	0	0	0
ASV615	0	0	0	0	0	0
ASV3698	0	0	0	0	0	0.00071623
ASV4238	0	0	0	0	0.00601633	0
ASV1926	0	0	0	0	0	0
ASV1859	0	0	0	0	0	0
ASV3956	0	0	0.001575705	0	0	0
ASV1222	0	0	0	0	0	0
ASV240	0	0	0	0	0.000143246	0
ASV2644	0.00071623	0	0	0	0	0
ASV792	0	0	0	0	0	0
ASV83	0.005729838	0.009454233	0.007019052	0.010886692	0.009454233	0.008594757
ASV1025	0	0	0	0	0	0
ASV3452	0	0	0	0	0	0
ASV1674	0	0.000286492	0	0	0	0
ASV962	0	0	0	0	0	0
ASV3487	0	0	0.001002722	0	0	0
ASV3645	0	0	0	0	0	0.002148689
ASV918	0	0	0.001862197	0	0	0
ASV2059	0	0	0	0	0	0
ASV2314	0	0	0	0	0	0
ASV3775	0	0	0	0	0	0.000572984
ASV614	0	0.000143246	0	0	0.000429738	0
ASV4095	0	0	0.000429738	0	0	0
ASV1061	0	0	0	0	0	0
ASV2944	0	0	0	0.00143246	0	0
ASV2598	0.001145968	0	0	0	0	0
ASV654	0.000286492	0	0	0	0	0
ASV567	0	0	0	0	0	0
ASV3720	0	0	0	0	0	0.000572984
ASV345	0	0	0	0.000143246	0.005443346	0.001145968
ASV3152	0	0	0	0.000429738	0	0
ASV2630	0.001002722	0	0	0	0.002148689	0
ASV1194	0	0	0	0	0	0
ASV1071	0	0	0	0	0	0
ASV3275	0	0	0	0	0	0
ASV1126	0	0	0	0	0	0
ASV341	0.001002722	0.001002722	0	0	0	0.000143246
ASV4360	0	0	0	0	0.000286492	0
ASV2853	0.000143246	0	0	0	0	0
ASV2698	0.000572984	0	0	0	0	0
ASV319	0	0	0	0.000572984	0	0.001145968
ASV3227	0	0	0	0.000286492	0	0
ASV1992	0	0	0	0	0	0
ASV1767	0	0.000143246	0	0	0	0
ASV2885	0.000286492	0	0	0.000429738	0	0
ASV301	0	0	0	0	0	0
ASV264	0	0	0.001718951	0	0	0
ASV2506	0	0	0	0	0	0
ASV3976	0	0	0.000859476	0	0	0
ASV4778	0	0	0	0	0	0
ASV8	0.012605644	0.016759777	0.020197679	0.012175906	0.019338204	0.014897579
ASV4703	0	0	0	0	0	0
ASV2133	0	0	0	0	0	0
ASV29	0.031227618	0.01203266	0.007592036	0.006589314	0.005729838	0.003867641
ASV695	0	0	0	0	0	0
ASV4023	0	0	0.001002722	0	0	0
ASV4375	0	0	0	0	0.00071623	0
ASV4297	0	0	0	0	0.001002722	0
ASV4645	0	0	0	0	0	0
ASV4852	0	0	0	0	0	0
ASV1693	0	0.000429738	0	0	0	0
ASV1035	0.001718951	0	0.002148689	0.000143246	0.001002722	0.00143246
ASV612	0.001575705	0	0.000429738	0	0.002291935	0
ASV198	0	0	0	0	0	0
ASV430	0	0	0	0.000429738	0	0.00071623
ASV1697	0.00143246	0	0	0.001862197	0.000429738	0
ASV2357	0	0	0	0	0	0
ASV1661	0	0.000143246	0	0	0	0
ASV1975	0	0	0	0	0.00071623	0
ASV947	0.000859476	0.000286492	0	0	0	0
ASV211	0.002148689	0.001002722	0.008881249	0	0.00143246	0.002291935
ASV3779	0	0	0	0	0	0.000429738
ASV3766	0	0	0	0	0	0.000429738
ASV1927	0	0	0	0	0.000859476	0
ASV910	0	0	0.002291935	0.003724395	0.003867641	0
ASV3391	0	0	0	0	0	0
ASV756	0	0	0	0	0	0
ASV1366	0	0.005443346	0	0	0	0
ASV4422	0	0	0	0	0.000572984	0
ASV2979	0	0	0	0.001002722	0	0
ASV268	0	0	0	0	0	0
ASV4609	0	0	0	0	0	0
ASV2929	0	0	0	0.002435181	0	0
ASV1165	0	0	0	0	0	0
ASV2336	0	0	0	0.000429738	0	0
ASV2222	0	0	0	0	0	0
ASV1253	0	0	0	0	0	0
