"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12"
"ASV224",0.003437903,0.00673256,0.008451511,0.024351812,0.009024495,0.01131643
"ASV1507",0,0.001002722,0,0,0,0
"ASV234",0,0.001289214,0.001145968,0,0,0
"ASV69",0.002721673,0.003581149,0.002291935,0.003008165,0.007878527,0.002578427
"ASV838",0.008451511,0.006875806,0.008451511,0.013751612,0.008738003,0.011173184
"ASV1870",0,0,0,0,0,0.004583871
"ASV3626",0,0,0,0,0,0.003724395
"ASV3021",0,0,0,0.000859476,0.000143246,0.00071623
"ASV181",0.00143246,0.000859476,0,0.001575705,0.002435181,0.003724395
"ASV2262",0.008165019,0,0,0,0.003437903,0.002005443
"ASV2616",0.00143246,0,0,0,0,0
"ASV3669",0,0,0,0,0,0.001575705
"ASV987",0,0.000286492,0,0,0.000859476,0
"ASV837",0,0.005586592,0,0,0.012319152,0
"ASV3077",0,0,0,0.000429738,0.001145968,0
"ASV239",0.002291935,0.001289214,0.005013608,0.002148689,0.001289214,0.00071623
"ASV117",0.003581149,0,0.00143246,0.001862197,0,0.003581149
"ASV1846",0,0,0.001718951,0,0,0
"ASV4238",0,0,0,0,0.00601633,0
"ASV3956",0,0,0.001575705,0,0,0
"ASV83",0.005729838,0.009454233,0.007019052,0.010886692,0.009454233,0.008594757
"ASV3487",0,0,0.001002722,0,0,0
"ASV3645",0,0,0,0,0,0.002148689
"ASV918",0,0,0.001862197,0,0,0
"ASV2944",0,0,0,0.00143246,0,0
"ASV2598",0.001145968,0,0,0,0,0
"ASV345",0,0,0,0.000143246,0.005443346,0.001145968
"ASV2630",0.001002722,0,0,0,0.002148689,0
"ASV341",0.001002722,0.001002722,0,0,0,0.000143246
"ASV319",0,0,0,0.000572984,0,0.001145968
"ASV264",0,0,0.001718951,0,0,0
"ASV8",0.012605644,0.016759777,0.020197679,0.012175906,0.019338204,0.014897579
"ASV29",0.031227618,0.01203266,0.007592036,0.006589314,0.005729838,0.003867641
"ASV4023",0,0,0.001002722,0,0,0
"ASV4297",0,0,0,0,0.001002722,0
"ASV1035",0.001718951,0,0.002148689,0.000143246,0.001002722,0.00143246
"ASV612",0.001575705,0,0.000429738,0,0.002291935,0
"ASV430",0,0,0,0.000429738,0,0.00071623
"ASV1697",0.00143246,0,0,0.001862197,0.000429738,0
"ASV947",0.000859476,0.000286492,0,0,0,0
"ASV211",0.002148689,0.001002722,0.008881249,0,0.00143246,0.002291935
"ASV910",0,0,0.002291935,0.003724395,0.003867641,0
"ASV1366",0,0.005443346,0,0,0,0
"ASV2979",0,0,0,0.001002722,0,0
"ASV2929",0,0,0,0.002435181,0,0
"ASV2633",0.001145968,0,0.00143246,0,0,0.000286492
"ASV1365",0.002864919,0.004870362,0,0,0,0.00071623
"ASV1446",0.00071623,0.000859476,0,0,0,0
"ASV589",0.001002722,0,0,0,0,0.000572984
"ASV3619",0,0,0,0,0,0.007592036
"ASV2622",0.001002722,0,0,0,0,0
"ASV2584",0.001289214,0,0,0,0,0
"ASV1388",0,0.003294657,0,0,0,0
"ASV1847",0.000859476,0,0,0.001289214,0,0.001145968
"ASV1462",0,0.001002722,0,0,0.001145968,0
"ASV995",0,0,0.002005443,0,0,0
"ASV4008",0,0,0.001002722,0,0,0
"ASV2461",0,0,0,0.001145968,0,0
"ASV3989",0,0,0.001145968,0,0,0
"ASV1398",0.00143246,0.002721673,0,0,0.00143246,0.001002722
"ASV250",0,0,0,0,0,0.001002722
"ASV932",0,0,0,0,0.000429738,0.001289214
"ASV2939",0,0,0,0.001718951,0,0
"ASV980",0.001575705,0.00071623,0.001289214,0.003581149,0.000572984,0.001862197
"ASV2565",0.003724395,0,0,0,0.001575705,0
"ASV4248",0,0,0,0,0.002291935,0
"ASV1018",0.000143246,0,0,0,0.000572984,0.002291935
"ASV3686",0,0,0,0,0,0.001002722
"ASV3703",0,0,0.001002722,0,0,0.000572984
"ASV31",0.015184071,0.019051712,0.01948145,0.012175906,0.016330039,0.007019052
"ASV3980",0,0,0.001002722,0,0.000859476,0
"ASV1364",0,0.004727116,0,0,0,0
"ASV4268",0,0,0,0,0.001575705,0
"ASV2611",0.001002722,0,0,0,0,0
"ASV277",0.004727116,0.002578427,0.007019052,0.001289214,0.004583871,0.003437903
"ASV1082",0.000572984,0,0.000429738,0.001145968,0.001002722,0
"ASV129",0.002148689,0.005443346,0.002435181,0.006875806,0.009167741,0.004727116
"ASV2990",0,0,0,0.001145968,0,0
"ASV215",0.002721673,0.002721673,0,0.000859476,0,0
"ASV1399",0.000859476,0.002721673,0,0.00071623,0,0.000859476
"ASV174",0,0,0,0,0,0.00143246
"ASV2575",0.002291935,0,0,0.001002722,0,0.002435181
"ASV1429",0,0.001718951,0,0,0,0
"ASV314",0,0.002435181,0,0,0.000429738,0.001575705
"ASV1937",0,0,0.00143246,0,0,0
"ASV3621",0,0,0,0,0,0.006159576
"ASV171",0,0.002005443,0,0.003008165,0,0.003724395
"ASV1459",0,0.001002722,0.00071623,0,0,0
"ASV4261",0,0,0,0,0.001002722,0
"ASV854",0,0,0.003151411,0.002578427,0,0.001862197
"ASV3971",0,0,0.001145968,0,0,0
"ASV65",0.013035382,0.010313709,0.005586592,0.016473285,0.011746168,0.005013608
"ASV2590",0.001289214,0,0,0,0,0
"ASV4",0.023778828,0.016473285,0.019911188,0.028362699,0.031370864,0.043403524
"ASV27",0.010600201,0.013608366,0.011459676,0.00673256,0.009454233,0.005156854
"ASV3624",0,0,0,0,0,0.002721673
"ASV1646",0,0.000286492,0.001002722,0,0,0
"ASV262",0.003724395,0.000859476,0.000572984,0.002435181,0.002291935,0.002864919
"ASV384",0,0.000859476,0.000859476,0.001002722,0,0.000429738
"ASV158",0.002435181,0,0.002291935,0.002005443,0.001289214,0.010170463
"ASV1414",0.00071623,0.002864919,0,0,0.00143246,0
"ASV836",0.003008165,0.002864919,0.003581149,0.01131643,0.001145968,0
"ASV1091",0,0.000429738,0,0,0,0.00071623
"ASV2962",0,0,0,0.001289214,0,0
"ASV1047",0.002578427,0.000429738,0.001145968,0,0.001002722,0.000286492
"ASV3643",0,0,0,0,0,0.001862197
"ASV38",0.012319152,0.027359977,0.017762498,0.007305544,0.008451511,0.006589314
"ASV3974",0,0,0.001145968,0,0,0
"ASV3656",0,0,0,0,0,0.001575705
"ASV448",0,0,0,0,0,0.001575705
"ASV4246",0,0,0,0,0.002435181,0
"ASV1128",0.00071623,0,0.000143246,0,0.00071623,0
"ASV1925",0,0,0,0,0.001575705,0.000859476
"ASV1262",0,0,0,0.000286492,0.000859476,0.000429738
"ASV3945",0,0,0.002148689,0,0,0
"ASV3642",0,0,0,0,0,0.001575705
"ASV2579",0.001718951,0,0.002721673,0,0,0
"ASV1390",0,0.003294657,0,0,0.001145968,0
"ASV4010",0,0,0.000859476,0,0.00071623,0
"ASV58",0.00673256,0.004297379,0.008451511,0,0.005729838,0
"ASV618",0.000859476,0.00143246,0.00071623,0.00744879,0.000429738,0.00071623
"ASV3946",0,0,0.001718951,0,0,0
"ASV4282",0,0,0,0,0.001145968,0
"ASV2010",0,0,0,0.000572984,0.000572984,0
"ASV2053",0.001289214,0,0,0,0,0
"ASV2915",0,0,0,0.003437903,0,0
"ASV1092",0.000859476,0.000286492,0,0,0.000572984,0
"ASV2597",0.001289214,0,0,0,0,0
"ASV4266",0,0,0,0,0.001575705,0
"ASV3975",0,0,0.001002722,0,0,0
"ASV940",0,0.002291935,0.00071623,0,0.001289214,0.000859476
"ASV3625",0,0,0,0,0,0.004010887
"ASV3935",0,0,0.004583871,0,0,0
"ASV1372",0,0.003151411,0,0,0,0.00071623
"ASV162",0,0.006875806,0.006446068,0.002435181,0.004870362,0
"ASV105",0.005586592,0.007305544,0.008594757,0.006159576,0.006875806,0.004010887
"ASV170",0,0.002148689,0.004297379,0.006875806,0.003867641,0.010743446
"ASV1393",0,0.003437903,0,0,0,0.001575705
"ASV2574",0.002291935,0,0,0,0,0
"ASV176",0.002148689,0.001145968,0.003008165,0.00673256,0.003724395,0.007592036
"ASV3710",0,0,0,0,0.001002722,0.000572984
"ASV1405",0,0.002864919,0,0,0,0
"ASV461",0,0,0,0,0,0.002005443
"ASV874",0.004297379,0,0.002435181,0.001862197,0.001145968,0
"ASV183",0.002005443,0.004010887,0.004727116,0,0.002864919,0.012605644
"ASV2969",0,0,0,0.001002722,0,0
"ASV2926",0,0,0,0.002435181,0,0
"ASV898",0,0,0.001862197,0,0.001002722,0
"ASV123",0.002721673,0,0.005443346,0.001289214,0,0.005873084
"ASV3639",0,0,0,0,0,0.002435181
"ASV2998",0,0,0,0.001002722,0,0
"ASV284",0.003151411,0.002005443,0.000429738,0.000859476,0.000572984,0.002291935
"ASV1899",0,0,0.001145968,0,0.00071623,0.000429738
"ASV1467",0,0.001002722,0,0,0.00071623,0
"ASV834",0,0,0,0.00601633,0,0.014038103
"ASV53",0.010313709,0.004297379,0.00744879,0.014754333,0.008165019,0.015184071
"ASV121",0.00601633,0.005586592,0.004727116,0.003151411,0.003724395,0.00673256
"ASV2931",0,0,0,0.002578427,0,0
"ASV2945",0,0,0,0.001862197,0,0
"ASV549",0,0,0,0.001289214,0,0
"ASV2626",0.001289214,0,0,0,0,0
"ASV3954",0,0,0.001575705,0,0,0
"ASV3027",0,0,0,0.001002722,0,0
"ASV1703",0,0.000143246,0,0.000859476,0,0.000429738
"ASV1141",0.003581149,0.000572984,0,0,0.000286492,0
"ASV2932",0,0,0,0.002005443,0,0
"ASV4262",0,0,0,0,0.001002722,0
"ASV939",0.000286492,0.001002722,0.000143246,0.000859476,0.001289214,0.001862197
"ASV1439",0,0.00143246,0,0,0,0
"ASV136",0.00601633,0.001289214,0.003724395,0.004870362,0.003581149,0.002578427
"ASV1389",0.009454233,0.003151411,0.006302822,0,0.010313709,0
"ASV948",0.002005443,0.004440625,0,0.001575705,0.001862197,0.004870362
"ASV1203",0,0,0,0.00071623,0.001145968,0
"ASV2613",0.001002722,0,0,0,0,0
"ASV2693",0.001002722,0,0,0,0,0
"ASV561",0,0,0,0.001718951,0,0
"ASV4019",0,0,0.001002722,0,0,0
"ASV890",0,0,0,0,0.00071623,0.001575705
"ASV2593",0.002291935,0,0,0.00071623,0,0
"ASV142",0,0.004010887,0.002721673,0.002864919,0.002435181,0.003008165
"ASV3990",0,0,0.001002722,0,0,0
"ASV1482",0,0.000859476,0,0.000286492,0,0
"ASV1449",0,0.001289214,0,0,0.001145968,0
"ASV495",0,0,0,0.001575705,0.001575705,0.000572984
"ASV484",0.000429738,0,0.000286492,0.000286492,0,0.000286492
"ASV1475",0.000286492,0.00071623,0,0,0,0
"ASV407",0,0,0,0,0,0.001145968
"ASV3640",0,0,0,0,0,0.002291935
"ASV286",0,0,0.001145968,0,0.001575705,0.002148689
"ASV1201",0,0,0.00143246,0.001145968,0,0
"ASV1543",0,0.00071623,0,0,0,0.00071623
"ASV2057",0,0,0,0.003581149,0,0
"ASV3932",0,0,0.004583871,0,0,0
"ASV1593",0,0.000429738,0,0.00071623,0,0
"ASV296",0.00143246,0,0,0,0.000572984,0
"ASV278",0.004583871,0.001718951,0.004297379,0.002435181,0.002864919,0
"ASV3982",0,0,0.001575705,0,0,0
"ASV369",0,0,0,0,0.002005443,0
"ASV852",0,0.012175906,0.011459676,0.00673256,0.007305544,0
"ASV1649",0,0.000143246,0,0,0.000859476,0.001862197
"ASV2581",0.002864919,0,0,0,0,0
"ASV424",0,0.000859476,0,0,0.002435181,0
"ASV118",0,0.000286492,0.000572984,0,0.001575705,0.002721673
"ASV1879",0,0,0,0,0.00143246,0
"ASV1471",0,0.000859476,0,0.001002722,0,0
"ASV43",0.008881249,0.003437903,0.009883971,0.001862197,0.00673256,0.006302822
"ASV60",0.00601633,0,0.002864919,0.006875806,0.005729838,0.001718951
"ASV3283",0,0,0,0,0.001575705,0.002148689
"ASV841",0,0.00143246,0,0,0,0
"ASV2585",0.001718951,0,0,0.004010887,0,0
"ASV232",0.00143246,0.002721673,0,0,0.003294657,0
"ASV184",0.002005443,0,0.002578427,0.001718951,0.001718951,0.002435181
"ASV3944",0,0,0.002578427,0,0,0
"ASV4247",0,0,0,0,0.002148689,0
"ASV3646",0,0,0,0,0,0.001145968
"ASV1437",0,0.001289214,0,0,0,0
"ASV383",0,0.001002722,0,0,0,0
"ASV1093",0,0.000143246,0,0,0.001862197,0
"ASV2821",0.000286492,0,0.000572984,0.000429738,0,0
"ASV3942",0,0,0.002435181,0,0,0
"ASV3680",0,0,0,0,0,0.001145968
